0.382741,1.068380,-0.814032,-0.574250,-0.873415
0.229512,0.095137,0.621256,-1.352681,-0.872661
0.334249,-0.939664,-0.511465,0.217562,-0.404105
-0.677170,0.530664,-0.155826,0.468736,0.020720
1.005930,-1.419435,-0.324788,0.448988,-1.002379
---
-0.889481,-1.345354,-0.149540,-0.740541,-0.152645
0.953969,-0.526412,1.179866,0.285566,-0.725472
1.564484,0.702584,-0.290919,0.627335,-0.051692
1.065981,-0.464425,-0.373059,0.728168,1.578018
0.287006,0.102258,-0.541548,-0.821906,-0.128815
---
-1.171276,-0.817525,-0.741987,-0.650625,-1.067176
-0.589861,-0.596740,0.431074,-0.709970,0.488789
0.855135,0.443943,0.167809,-0.091532,-0.348627
0.070350,-0.453772,-0.620751,-0.963896,-0.357648
-0.502637,-0.154062,0.165257,0.520077,0.888263